study,trial_name,year,cultivar,location,lat,lon,state,commercial,group,ai,block,sev,yld,rust
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,7,3183,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,3,3642,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,5,3664,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,2,4072,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,10,5381,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,15,5116,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,13,5286,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,12,4946,0
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,6.0,3762,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,4.9,3348,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,4.0,3612,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.9,3858,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,5,7.9,3822,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,1.7,4134,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,2.4,4236,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,1.6,3924,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.5,4020,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,5,1.7,4212,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,1.1,3822,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,0.0,3612,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,1.1,3420,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,0.5,3690,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,5,3.3,3702,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,2.5,3432.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,3.9,3564.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,6.1,3138.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.8,3312.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,5,5.7,3438.0,1
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,4.3,3535,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,4.5,4112,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,3.5,3433,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.5,3411,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,3.2,3228,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,3.2,3457,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,3.2,3617,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.3,3539,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,0.0,4199,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,0.0,3994,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,0.5,3974,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,0.5,4095,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,8.0,3130,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,6.0,3502,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,6.0,3391,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,8.0,3238,0
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,15.0,2124,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,20.0,2088,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,18.0,2139,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,23.0,2105,1
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,10.4,3930,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,9.1,3988,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,10.4,4302,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,9.8,3676,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,19.3,3218,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,9.1,4187,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,3.7,3064,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,3.9,3538,0
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,3.0,3516,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,3.0,3221,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,5.0,3581,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,7.0,3966,
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,7.0,4324.0,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,10.0,3815.3,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,7.0,4105.5,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,7.0,3920.7,1
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,7.0,4531.4,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,7.0,3762.6,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,15.0,3894.9,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,10.0,3874.1,
17,CTPA,2017,M 9144RR,Doverlândia,-16.7213,-52.3166,GO,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,1,7.0,5301.0,0
